,season,division,matchday,date,time,home_team,away_team,score
26570,1944-1945,2,26,5/20/45,,RCD Mallorca,CE Constància,2:0
26571,1944-1945,2,26,5/20/45,,CD Alcoyano,Ferrol,4:1
26572,1944-1945,2,26,5/20/45,,Real Sociedad,Xerez CD,3:1
26573,1944-1945,2,26,5/20/45,,SD Ceuta,Real Zaragoza,4:1
26574,1945-1946,2,1,9/23/45,,UD Salamanca,CE Sabadell ,3:1
26575,1945-1946,2,1,9/23/45,,RCD Mallorca,Xerez CD,3:0
26576,1945-1946,2,1,9/23/45,,Granada CF,Real Sociedad,4:1
26577,1945-1946,2,1,9/23/45,,SD Ceuta,Córdoba,1:2
26578,1945-1946,2,1,9/23/45,,Real Betis,Real Zaragoza,4:0
26579,1945-1946,2,1,9/23/45,,Dep. La Coruña,Racing,3:1
26580,1945-1946,2,1,9/24/45,,Gimnàstic,Ferrol,1:0
26581,1945-1946,2,2,9/30/45,,CE Sabadell ,Dep. La Coruña,2:0
26582,1945-1946,2,2,9/30/45,,Xerez CD,UD Salamanca,4:3
26583,1945-1946,2,2,9/30/45,,Real Sociedad,RCD Mallorca,2:1
26584,1945-1946,2,2,9/30/45,,Córdoba,Granada CF,2:0
26585,1945-1946,2,2,9/30/45,,Real Zaragoza,SD Ceuta,5:1
26586,1945-1946,2,2,9/30/45,,Ferrol,Real Betis,2:2
26587,1945-1946,2,2,9/30/45,,Racing,Gimnàstic,6:0
26588,1945-1946,2,3,10/7/45,,CE Sabadell ,Xerez CD,7:2
26589,1945-1946,2,3,10/7/45,,UD Salamanca,Real Sociedad,2:0
26590,1945-1946,2,3,10/7/45,,RCD Mallorca,Córdoba,1:0
26591,1945-1946,2,3,10/7/45,,Granada CF,Real Zaragoza,3:1
26592,1945-1946,2,3,10/7/45,,SD Ceuta,Ferrol,1:2
26593,1945-1946,2,3,10/7/45,,Real Betis,Racing,3:2
26594,1945-1946,2,3,10/7/45,,Dep. La Coruña,Gimnàstic,1:3
26595,1945-1946,2,4,10/12/45,,Gimnàstic,Real Betis,4:1
26596,1945-1946,2,4,10/14/45,,Xerez CD,Dep. La Coruña,2:0
26597,1945-1946,2,4,10/14/45,,Real Sociedad,CE Sabadell ,0:2
26598,1945-1946,2,4,10/14/45,,Córdoba,UD Salamanca,1:1
26599,1945-1946,2,4,10/14/45,,Real Zaragoza,RCD Mallorca,4:2
26600,1945-1946,2,4,10/14/45,,Ferrol,Granada CF,1:0
26601,1945-1946,2,4,10/14/45,,Racing,SD Ceuta,4:0
26602,1945-1946,2,5,10/21/45,,Xerez CD,Real Sociedad,0:7
26603,1945-1946,2,5,10/21/45,,CE Sabadell ,Córdoba,2:0
26604,1945-1946,2,5,10/21/45,,UD Salamanca,Real Zaragoza,4:1
26605,1945-1946,2,5,10/21/45,,RCD Mallorca,Ferrol,0:1
26606,1945-1946,2,5,10/21/45,,Granada CF,Racing,2:0
26607,1945-1946,2,5,10/21/45,,SD Ceuta,Gimnàstic,1:1
26608,1945-1946,2,5,10/21/45,,Dep. La Coruña,Real Betis,1:0
26609,1945-1946,2,6,10/28/45,,Real Sociedad,Dep. La Coruña,2:0
26610,1945-1946,2,6,10/28/45,,Córdoba,Xerez CD,3:0
26611,1945-1946,2,6,10/28/45,,Real Zaragoza,CE Sabadell ,1:2
26612,1945-1946,2,6,10/28/45,,Ferrol,UD Salamanca,4:2
26613,1945-1946,2,6,10/28/45,,Racing,RCD Mallorca,3:1
26614,1945-1946,2,6,10/28/45,,Gimnàstic,Granada CF,3:3
26615,1945-1946,2,6,10/28/45,,Real Betis,SD Ceuta,2:1
26616,1945-1946,2,7,11/4/45,,Real Sociedad,Córdoba,3:1
26617,1945-1946,2,7,11/4/45,,Xerez CD,Real Zaragoza,4:4
26618,1945-1946,2,7,11/4/45,,CE Sabadell ,Ferrol,2:3
26619,1945-1946,2,7,11/4/45,,UD Salamanca,Racing,2:1
26620,1945-1946,2,7,11/4/45,,RCD Mallorca,Gimnàstic,3:0
26621,1945-1946,2,7,11/4/45,,Granada CF,Real Betis,0:1
26622,1945-1946,2,7,11/4/45,,Dep. La Coruña,SD Ceuta,3:0
26623,1945-1946,2,8,11/18/45,,Córdoba,Dep. La Coruña,2:0
26624,1945-1946,2,8,11/18/45,,Ferrol,Xerez CD,3:2
26625,1945-1946,2,8,11/18/45,,Racing,CE Sabadell ,2:2
26626,1945-1946,2,8,11/18/45,,Gimnàstic,UD Salamanca,3:0
26627,1945-1946,2,8,11/18/45,,Real Betis,RCD Mallorca,2:3
26628,1945-1946,2,8,11/18/45,,SD Ceuta,Granada CF,2:3
26629,1945-1946,2,8,11/20/45,,Real Zaragoza,Real Sociedad,1:2
26630,1945-1946,2,9,11/25/45,,Córdoba,Real Zaragoza,2:0
26631,1945-1946,2,9,11/25/45,,Real Sociedad,Ferrol,4:0
26632,1945-1946,2,9,11/25/45,,Xerez CD,Racing,4:3
26633,1945-1946,2,9,11/25/45,,CE Sabadell ,Gimnàstic,3:1
26634,1945-1946,2,9,11/25/45,,UD Salamanca,Real Betis,0:1
26635,1945-1946,2,9,11/25/45,,RCD Mallorca,SD Ceuta,1:2
26636,1945-1946,2,9,11/25/45,,Dep. La Coruña,Granada CF,1:1
26637,1945-1946,2,10,12/2/45,,Real Zaragoza,Dep. La Coruña,1:2
26638,1945-1946,2,10,12/2/45,,Ferrol,Córdoba,6:0
26639,1945-1946,2,10,12/2/45,,Racing,Real Sociedad,4:0
26640,1945-1946,2,10,12/2/45,,Gimnàstic,Xerez CD,1:1
26641,1945-1946,2,10,12/2/45,,Real Betis,CE Sabadell ,0:1
26642,1945-1946,2,10,12/2/45,,SD Ceuta,UD Salamanca,1:0
26643,1945-1946,2,10,12/2/45,,Granada CF,RCD Mallorca,1:2
26644,1945-1946,2,11,12/9/45,,Real Zaragoza,Ferrol,4:0
26645,1945-1946,2,11,12/9/45,,Córdoba,Racing,4:2
26646,1945-1946,2,11,12/9/45,,Real Sociedad,Gimnàstic,5:0
26647,1945-1946,2,11,12/9/45,,Xerez CD,Real Betis,1:0
26648,1945-1946,2,11,12/9/45,,CE Sabadell ,SD Ceuta,3:1
26649,1945-1946,2,11,12/9/45,,UD Salamanca,Granada CF,0:1
26650,1945-1946,2,11,12/9/45,,Dep. La Coruña,RCD Mallorca,2:2
26651,1945-1946,2,12,12/16/45,,Dep. La Coruña,Ferrol,3:1
26652,1945-1946,2,12,12/16/45,,Racing,Real Zaragoza,4:2
26653,1945-1946,2,12,12/16/45,,Gimnàstic,Córdoba,5:1
26654,1945-1946,2,12,12/16/45,,Real Betis,Real Sociedad,1:0
26655,1945-1946,2,12,12/16/45,,SD Ceuta,Xerez CD,2:1
26656,1945-1946,2,12,12/16/45,,Granada CF,CE Sabadell ,2:2
26657,1945-1946,2,12,12/16/45,,RCD Mallorca,UD Salamanca,2:0
26658,1945-1946,2,13,12/30/45,,Ferrol,Racing,2:1
26659,1945-1946,2,13,12/30/45,,Real Zaragoza,Gimnàstic,0:0
26660,1945-1946,2,13,12/30/45,,Córdoba,Real Betis,2:0
26661,1945-1946,2,13,12/30/45,,Real Sociedad,SD Ceuta,4:0
26662,1945-1946,2,13,12/30/45,,Xerez CD,Granada CF,1:0
26663,1945-1946,2,13,12/30/45,,CE Sabadell ,RCD Mallorca,1:1
26664,1945-1946,2,13,12/30/45,,UD Salamanca,Dep. La Coruña,0:0
26665,1945-1946,2,14,1/6/46,,CE Sabadell ,UD Salamanca,5:1
26666,1945-1946,2,14,1/6/46,,Xerez CD,RCD Mallorca,1:1
26667,1945-1946,2,14,1/6/46,,Real Sociedad,Granada CF,1:1
26668,1945-1946,2,14,1/6/46,,Córdoba,SD Ceuta,4:1
26669,1945-1946,2,14,1/6/46,,Real Zaragoza,Real Betis,4:1
26670,1945-1946,2,14,1/6/46,,Ferrol,Gimnàstic,0:2
26671,1945-1946,2,14,1/6/46,,Racing,Dep. La Coruña,0:1
26672,1945-1946,2,15,1/13/46,,Dep. La Coruña,CE Sabadell ,2:0
26673,1945-1946,2,15,1/13/46,,UD Salamanca,Xerez CD,2:0
26674,1945-1946,2,15,1/13/46,,RCD Mallorca,Real Sociedad,1:1
26675,1945-1946,2,15,1/13/46,,Granada CF,Córdoba,2:0
26676,1945-1946,2,15,1/13/46,,SD Ceuta,Real Zaragoza,3:0
26677,1945-1946,2,15,1/13/46,,Real Betis,Ferrol,4:0
26678,1945-1946,2,15,1/13/46,,Gimnàstic,Racing,4:1
26679,1945-1946,2,16,1/20/46,,Ferrol,SD Ceuta,1:1
26680,1945-1946,2,16,1/20/46,,Racing,Real Betis,4:0
26681,1945-1946,2,16,1/20/46,,Gimnàstic,Dep. La Coruña,2:0
26682,1945-1946,2,16,1/20/46,,Xerez CD,CE Sabadell ,1:2
26683,1945-1946,2,16,1/20/46,,Real Sociedad,UD Salamanca,1:0
26684,1945-1946,2,16,1/20/46,,Córdoba,RCD Mallorca,1:0
26685,1945-1946,2,16,1/22/46,,Real Zaragoza,Granada CF,2:1
26686,1945-1946,2,17,1/27/46,,Dep. La Coruña,Xerez CD,4:1
26687,1945-1946,2,17,1/27/46,,CE Sabadell ,Real Sociedad,1:0
26688,1945-1946,2,17,1/27/46,,UD Salamanca,Córdoba,0:0
26689,1945-1946,2,17,1/27/46,,RCD Mallorca,Real Zaragoza,1:1
26690,1945-1946,2,17,1/27/46,,Granada CF,Ferrol,6:3
26691,1945-1946,2,17,1/27/46,,SD Ceuta,Racing,1:3
26692,1945-1946,2,17,1/27/46,,Real Betis,Gimnàstic,6:1
26693,1945-1946,2,18,2/3/46,,Real Sociedad,Xerez CD,2:0
26694,1945-1946,2,18,2/3/46,,Córdoba,CE Sabadell ,0:0
26695,1945-1946,2,18,2/3/46,,Real Zaragoza,UD Salamanca,2:1
26696,1945-1946,2,18,2/3/46,,Ferrol,RCD Mallorca,1:1
26697,1945-1946,2,18,2/3/46,,Racing,Granada CF,3:2
26698,1945-1946,2,18,2/3/46,,Gimnàstic,SD Ceuta,4:1
26699,1945-1946,2,18,2/3/46,,Real Betis,Dep. La Coruña,1:0
26700,1945-1946,2,19,2/10/46,,Dep. La Coruña,Real Sociedad,1:0
26701,1945-1946,2,19,2/10/46,,Xerez CD,Córdoba,4:0
26702,1945-1946,2,19,2/10/46,,CE Sabadell ,Real Zaragoza,1:1
26703,1945-1946,2,19,2/10/46,,UD Salamanca,Ferrol,6:1
26704,1945-1946,2,19,2/10/46,,RCD Mallorca,Racing,4:2
26705,1945-1946,2,19,2/10/46,,Granada CF,Gimnàstic,2:1
26706,1945-1946,2,19,2/10/46,,SD Ceuta,Real Betis,2:1
26707,1945-1946,2,20,2/17/46,,Córdoba,Real Sociedad,3:0
26708,1945-1946,2,20,2/17/46,,Real Zaragoza,Xerez CD,3:2
26709,1945-1946,2,20,2/17/46,,Ferrol,CE Sabadell ,3:1
26710,1945-1946,2,20,2/17/46,,Racing,UD Salamanca,4:2
26711,1945-1946,2,20,2/17/46,,Gimnàstic,RCD Mallorca,1:1
26712,1945-1946,2,20,2/17/46,,Real Betis,Granada CF,1:2
26713,1945-1946,2,20,2/17/46,,SD Ceuta,Dep. La Coruña,1:2
26714,1945-1946,2,21,2/24/46,,Dep. La Coruña,Córdoba,1:0
26715,1945-1946,2,21,2/24/46,,Real Sociedad,Real Zaragoza,1:2
26716,1945-1946,2,21,2/24/46,,Xerez CD,Ferrol,1:0
26717,1945-1946,2,21,2/24/46,,CE Sabadell ,Racing,5:0
26718,1945-1946,2,21,2/24/46,,UD Salamanca,Gimnàstic,1:3
26719,1945-1946,2,21,2/24/46,,RCD Mallorca,Real Betis,2:2
26720,1945-1946,2,21,2/24/46,,Granada CF,SD Ceuta,2:0
26721,1945-1946,2,22,3/3/46,,Real Zaragoza,Córdoba,1:0
26722,1945-1946,2,22,3/3/46,,Ferrol,Real Sociedad,2:2
26723,1945-1946,2,22,3/3/46,,Racing,Xerez CD,2:1
26724,1945-1946,2,22,3/3/46,,Gimnàstic,CE Sabadell ,0:1
26725,1945-1946,2,22,3/3/46,,Real Betis,UD Salamanca,3:0
26726,1945-1946,2,22,3/3/46,,SD Ceuta,RCD Mallorca,4:0
26727,1945-1946,2,22,3/3/46,,Granada CF,Dep. La Coruña,1:2
26728,1945-1946,2,23,3/10/46,,Dep. La Coruña,Real Zaragoza,5:2
26729,1945-1946,2,23,3/10/46,,Córdoba,Ferrol,3:0
26730,1945-1946,2,23,3/10/46,,Real Sociedad,Racing,0:1
26731,1945-1946,2,23,3/10/46,,Xerez CD,Gimnàstic,4:1
26732,1945-1946,2,23,3/10/46,,CE Sabadell ,Real Betis,0:0
26733,1945-1946,2,23,3/10/46,,UD Salamanca,SD Ceuta,4:1
26734,1945-1946,2,23,3/10/46,,RCD Mallorca,Granada CF,3:2
26735,1945-1946,2,24,3/17/46,,Ferrol,Real Zaragoza,1:0
26736,1945-1946,2,24,3/17/46,,Racing,Córdoba,1:2
26737,1945-1946,2,24,3/17/46,,Gimnàstic,Real Sociedad,2:4
26738,1945-1946,2,24,3/17/46,,Real Betis,Xerez CD,2:2
26739,1945-1946,2,24,3/17/46,,SD Ceuta,CE Sabadell ,5:2
26740,1945-1946,2,24,3/17/46,,Granada CF,UD Salamanca,4:1
26741,1945-1946,2,24,3/17/46,,RCD Mallorca,Dep. La Coruña,0:0
26742,1945-1946,2,25,3/24/46,,Ferrol,Dep. La Coruña,0:1
26743,1945-1946,2,25,3/24/46,,Real Zaragoza,Racing,2:0
26744,1945-1946,2,25,3/24/46,,Córdoba,Gimnàstic,0:1
26745,1945-1946,2,25,3/24/46,,Real Sociedad,Real Betis,3:1
26746,1945-1946,2,25,3/24/46,,Xerez CD,SD Ceuta,3:0
26747,1945-1946,2,25,3/24/46,,CE Sabadell ,Granada CF,0:0
26748,1945-1946,2,25,3/24/46,,UD Salamanca,RCD Mallorca,3:1
26749,1945-1946,2,26,3/31/46,,Racing,Ferrol,2:2
26750,1945-1946,2,26,3/31/46,,Gimnàstic,Real Zaragoza,6:0
26751,1945-1946,2,26,3/31/46,,Real Betis,Córdoba,2:3
26752,1945-1946,2,26,3/31/46,,SD Ceuta,Real Sociedad,2:1
26753,1945-1946,2,26,3/31/46,,Granada CF,Xerez CD,4:1
26754,1945-1946,2,26,3/31/46,,RCD Mallorca,CE Sabadell ,0:2
26755,1945-1946,2,26,3/31/46,,Dep. La Coruña,UD Salamanca,3:3
26756,1946-1947,2,1,9/22/46,,Real Betis,RCD Mallorca,6:0
26757,1946-1947,2,1,9/22/46,,Real Sociedad,Levante,6:2
26758,1946-1947,2,1,9/22/46,,CD Alcoyano,Hércules CF,1:3
26759,1946-1947,2,1,9/22/46,,Real Zaragoza,CD Málaga,2:2
26760,1946-1947,2,1,9/22/46,,Granada CF,Córdoba,0:1
26761,1946-1947,2,1,9/22/46,,Gimnàstic,Ferrol,4:1
26762,1946-1947,2,1,9/22/46,,Racing,Baracaldo,0:2
26763,1946-1947,2,2,9/29/46,,RCD Mallorca,Racing,3:2
26764,1946-1947,2,2,9/29/46,,Levante,Real Betis,5:1
26765,1946-1947,2,2,9/29/46,,Hércules CF,Real Sociedad,4:1
26766,1946-1947,2,2,9/29/46,,CD Málaga,CD Alcoyano,2:2
26767,1946-1947,2,2,9/29/46,,Córdoba,Real Zaragoza,0:1
26768,1946-1947,2,2,9/29/46,,Ferrol,Granada CF,3:0
26769,1946-1947,2,2,9/29/46,,Baracaldo,Gimnàstic,0:1
26770,1946-1947,2,3,10/6/46,,RCD Mallorca,Levante,1:3
26771,1946-1947,2,3,10/6/46,,Real Betis,Hércules CF,2:0
26772,1946-1947,2,3,10/6/46,,Real Sociedad,CD Málaga,2:0
26773,1946-1947,2,3,10/6/46,,CD Alcoyano,Córdoba,2:0
26774,1946-1947,2,3,10/6/46,,Real Zaragoza,Ferrol,2:1
26775,1946-1947,2,3,10/6/46,,Granada CF,Baracaldo,3:1
26776,1946-1947,2,3,10/6/46,,Racing,Gimnàstic,0:1
26777,1946-1947,2,4,10/13/46,,Levante,Racing,6:0
26778,1946-1947,2,4,10/13/46,,Hércules CF,RCD Mallorca,2:0
26779,1946-1947,2,4,10/13/46,,CD Málaga,Real Betis,1:0
26780,1946-1947,2,4,10/13/46,,Córdoba,Real Sociedad,3:2
26781,1946-1947,2,4,10/13/46,,Ferrol,CD Alcoyano,1:2
26782,1946-1947,2,4,10/13/46,,Baracaldo,Real Zaragoza,4:0
26783,1946-1947,2,4,10/13/46,,Gimnàstic,Granada CF,3:0
26784,1946-1947,2,5,10/20/46,,Levante,Hércules CF,0:2
26785,1946-1947,2,5,10/20/46,,RCD Mallorca,CD Málaga,2:0
26786,1946-1947,2,5,10/20/46,,Real Betis,Córdoba,1:1
26787,1946-1947,2,5,10/20/46,,Real Sociedad,Ferrol,2:1
26788,1946-1947,2,5,10/20/46,,CD Alcoyano,Baracaldo,3:0
26789,1946-1947,2,5,10/20/46,,Real Zaragoza,Gimnàstic,0:2
26790,1946-1947,2,5,10/20/46,,Racing,Granada CF,2:2
26791,1946-1947,2,6,10/27/46,,Hércules CF,Racing,1:0
26792,1946-1947,2,6,10/27/46,,CD Málaga,Levante,1:1
26793,1946-1947,2,6,10/27/46,,Córdoba,RCD Mallorca,2:0
26794,1946-1947,2,6,10/27/46,,Ferrol,Real Betis,1:1
26795,1946-1947,2,6,10/27/46,,Baracaldo,Real Sociedad,0:7
26796,1946-1947,2,6,10/27/46,,Gimnàstic,CD Alcoyano,4:2
26797,1946-1947,2,6,10/27/46,,Granada CF,Real Zaragoza,2:1
26798,1946-1947,2,7,11/3/46,,Hércules CF,CD Málaga,1:0
26799,1946-1947,2,7,11/3/46,,Levante,Córdoba,2:3
26800,1946-1947,2,7,11/3/46,,RCD Mallorca,Ferrol,5:1
26801,1946-1947,2,7,11/3/46,,Real Betis,Baracaldo,3:2
26802,1946-1947,2,7,11/3/46,,Real Sociedad,Gimnàstic,3:2
26803,1946-1947,2,7,11/3/46,,CD Alcoyano,Granada CF,1:1
26804,1946-1947,2,7,11/3/46,,Racing,Real Zaragoza,3:0
26805,1946-1947,2,8,11/10/46,,CD Málaga,Racing,3:0
26806,1946-1947,2,8,11/10/46,,Córdoba,Hércules CF,2:0
26807,1946-1947,2,8,11/10/46,,Ferrol,Levante,3:1
26808,1946-1947,2,8,11/10/46,,Baracaldo,RCD Mallorca,6:1
26809,1946-1947,2,8,11/10/46,,Gimnàstic,Real Betis,4:3
26810,1946-1947,2,8,11/10/46,,Granada CF,Real Sociedad,2:1
26811,1946-1947,2,8,11/10/46,,Real Zaragoza,CD Alcoyano,2:4
26812,1946-1947,2,9,11/17/46,,CD Málaga,Córdoba,0:0
26813,1946-1947,2,9,11/17/46,,Hércules CF,Ferrol,3:2
26814,1946-1947,2,9,11/17/46,,Levante,Baracaldo,3:1
26815,1946-1947,2,9,11/17/46,,RCD Mallorca,Gimnàstic,3:0
26816,1946-1947,2,9,11/17/46,,Real Betis,Granada CF,2:0
26817,1946-1947,2,9,11/17/46,,Real Sociedad,Real Zaragoza,3:0
26818,1946-1947,2,9,11/17/46,,Racing,CD Alcoyano,2:2
26819,1946-1947,2,10,11/24/46,,Córdoba,Racing,2:2
26820,1946-1947,2,10,11/24/46,,Ferrol,CD Málaga,4:1
26821,1946-1947,2,10,11/24/46,,Baracaldo,Hércules CF,6:2
26822,1946-1947,2,10,11/24/46,,Gimnàstic,Levante,4:3
26823,1946-1947,2,10,11/24/46,,Granada CF,RCD Mallorca,2:0
26824,1946-1947,2,10,11/24/46,,Real Zaragoza,Real Betis,6:1
26825,1946-1947,2,10,11/24/46,,CD Alcoyano,Real Sociedad,0:0
26826,1946-1947,2,11,12/1/46,,Córdoba,Ferrol,1:1
26827,1946-1947,2,11,12/1/46,,CD Málaga,Baracaldo,1:0
26828,1946-1947,2,11,12/1/46,,Hércules CF,Gimnàstic,2:1
26829,1946-1947,2,11,12/1/46,,Levante,Granada CF,3:0
26830,1946-1947,2,11,12/1/46,,RCD Mallorca,Real Zaragoza,2:1
26831,1946-1947,2,11,12/1/46,,Real Betis,CD Alcoyano,0:2
26832,1946-1947,2,11,12/1/46,,Racing,Real Sociedad,2:2
26833,1946-1947,2,12,12/8/46,,Racing,Ferrol,1:1
26834,1946-1947,2,12,12/8/46,,Baracaldo,Córdoba,5:2
26835,1946-1947,2,12,12/8/46,,Gimnàstic,CD Málaga,4:0
26836,1946-1947,2,12,12/8/46,,Granada CF,Hércules CF,2:1
26837,1946-1947,2,12,12/8/46,,Real Zaragoza,Levante,3:1
26838,1946-1947,2,12,12/8/46,,CD Alcoyano,RCD Mallorca,3:1
26839,1946-1947,2,12,12/8/46,,Real Sociedad,Real Betis,3:0
26840,1946-1947,2,13,12/15/46,,Ferrol,Baracaldo,3:0
26841,1946-1947,2,13,12/15/46,,Córdoba,Gimnàstic,1:1
26842,1946-1947,2,13,12/15/46,,CD Málaga,Granada CF,0:0
26843,1946-1947,2,13,12/15/46,,Hércules CF,Real Zaragoza,3:1
26844,1946-1947,2,13,12/15/46,,Levante,CD Alcoyano,4:3
26845,1946-1947,2,13,12/15/46,,RCD Mallorca,Real Sociedad,2:0
26846,1946-1947,2,13,12/15/46,,Real Betis,Racing,2:2
26847,1946-1947,2,14,12/29/46,,RCD Mallorca,Real Betis,4:2
26848,1946-1947,2,14,12/29/46,,Levante,Real Sociedad,4:0
26849,1946-1947,2,14,12/29/46,,Hércules CF,CD Alcoyano,0:1
26850,1946-1947,2,14,12/29/46,,CD Málaga,Real Zaragoza,0:0
26851,1946-1947,2,14,12/29/46,,Córdoba,Granada CF,5:0
26852,1946-1947,2,14,12/29/46,,Ferrol,Gimnàstic,3:4
26853,1946-1947,2,14,12/29/46,,Baracaldo,Racing,3:0
26854,1946-1947,2,15,1/5/47,,Real Betis,Levante,2:0
26855,1946-1947,2,15,1/5/47,,CD Alcoyano,CD Málaga,1:2
26856,1946-1947,2,15,1/5/47,,Real Zaragoza,Córdoba,4:2
26857,1946-1947,2,15,1/5/47,,Granada CF,Ferrol,3:0
26858,1946-1947,2,15,1/5/47,,Gimnàstic,Baracaldo,8:2
26859,1946-1947,2,15,1/6/47,,Racing,RCD Mallorca,3:2
26860,1946-1947,2,15,1/6/47,,Real Sociedad,Hércules CF,2:1
26861,1946-1947,2,16,1/12/47,,Levante,RCD Mallorca,0:3
26862,1946-1947,2,16,1/12/47,,Hércules CF,Real Betis,3:2
26863,1946-1947,2,16,1/12/47,,CD Málaga,Real Sociedad,4:2
26864,1946-1947,2,16,1/12/47,,Córdoba,CD Alcoyano,2:3
26865,1946-1947,2,16,1/12/47,,Ferrol,Real Zaragoza,4:0
26866,1946-1947,2,16,1/12/47,,Baracaldo,Granada CF,6:2
26867,1946-1947,2,16,1/12/47,,Gimnàstic,Racing,4:2
26868,1946-1947,2,17,1/19/47,,Racing,Levante,3:0
26869,1946-1947,2,17,1/19/47,,RCD Mallorca,Hércules CF,3:0
26870,1946-1947,2,17,1/19/47,,Real Betis,CD Málaga,1:0
26871,1946-1947,2,17,1/19/47,,Real Sociedad,Córdoba,4:1
26872,1946-1947,2,17,1/19/47,,CD Alcoyano,Ferrol,5:2
26873,1946-1947,2,17,1/19/47,,Real Zaragoza,Baracaldo,3:1
26874,1946-1947,2,17,1/19/47,,Granada CF,Gimnàstic,2:1
26875,1946-1947,2,18,2/2/47,,Hércules CF,Levante,2:2
26876,1946-1947,2,18,2/2/47,,CD Málaga,RCD Mallorca,1:3
26877,1946-1947,2,18,2/2/47,,Córdoba,Real Betis,3:1
26878,1946-1947,2,18,2/2/47,,Ferrol,Real Sociedad,3:4
26879,1946-1947,2,18,2/2/47,,Baracaldo,CD Alcoyano,0:0
26880,1946-1947,2,18,2/2/47,,Gimnàstic,Real Zaragoza,4:1
26881,1946-1947,2,18,2/2/47,,Granada CF,Racing,4:0
26882,1946-1947,2,19,2/9/47,,Racing,Hércules CF,2:4
26883,1946-1947,2,19,2/9/47,,Levante,CD Málaga,4:2
26884,1946-1947,2,19,2/9/47,,RCD Mallorca,Córdoba,2:0
26885,1946-1947,2,19,2/9/47,,Real Betis,Ferrol,3:1
26886,1946-1947,2,19,2/9/47,,Real Sociedad,Baracaldo,2:0
26887,1946-1947,2,19,2/9/47,,CD Alcoyano,Gimnàstic,3:1
26888,1946-1947,2,19,2/9/47,,Real Zaragoza,Granada CF,6:0
26889,1946-1947,2,20,2/16/47,,CD Málaga,Hércules CF,2:1
26890,1946-1947,2,20,2/16/47,,Córdoba,Levante,2:0
26891,1946-1947,2,20,2/16/47,,Ferrol,RCD Mallorca,2:1
26892,1946-1947,2,20,2/16/47,,Baracaldo,Real Betis,6:1
26893,1946-1947,2,20,2/16/47,,Gimnàstic,Real Sociedad,0:0
26894,1946-1947,2,20,2/16/47,,Granada CF,CD Alcoyano,2:2
26895,1946-1947,2,20,2/16/47,,Real Zaragoza,Racing,0:1
26896,1946-1947,2,21,3/9/47,,Racing,CD Málaga,2:1
26897,1946-1947,2,21,3/9/47,,Hércules CF,Córdoba,2:0
26898,1946-1947,2,21,3/9/47,,Levante,Ferrol,8:0
26899,1946-1947,2,21,3/9/47,,RCD Mallorca,Baracaldo,2:0
26900,1946-1947,2,21,3/9/47,,CD Alcoyano,Real Zaragoza,3:0
26901,1946-1947,2,21,3/19/47,,Real Betis,Gimnàstic,0:0
26902,1946-1947,2,21,3/19/47,,Real Sociedad,Granada CF,1:1
26903,1946-1947,2,22,3/16/47,,Ferrol,Hércules CF,2:2
26904,1946-1947,2,22,3/16/47,,Baracaldo,Levante,5:1
26905,1946-1947,2,22,3/16/47,,Gimnàstic,RCD Mallorca,2:0
26906,1946-1947,2,22,3/16/47,,Granada CF,Real Betis,3:0
26907,1946-1947,2,22,3/16/47,,Real Zaragoza,Real Sociedad,1:1
26908,1946-1947,2,22,3/16/47,,CD Alcoyano,Racing,4:1
26909,1946-1947,2,22,3/19/47,,Córdoba,CD Málaga,1:1
26910,1946-1947,2,23,3/23/47,,Racing,Córdoba,2:0
26911,1946-1947,2,23,3/23/47,,CD Málaga,Ferrol,5:0
26912,1946-1947,2,23,3/23/47,,Hércules CF,Baracaldo,3:2
26913,1946-1947,2,23,3/23/47,,Levante,Gimnàstic,4:1
26914,1946-1947,2,23,3/23/47,,RCD Mallorca,Granada CF,3:0
26915,1946-1947,2,23,3/23/47,,Real Betis,Real Zaragoza,1:0
26916,1946-1947,2,23,3/23/47,,Real Sociedad,CD Alcoyano,1:2
26917,1946-1947,2,24,3/30/47,,Ferrol,Córdoba,2:1
26918,1946-1947,2,24,3/30/47,,Baracaldo,CD Málaga,4:2
26919,1946-1947,2,24,3/30/47,,Gimnàstic,Hércules CF,5:2
26920,1946-1947,2,24,3/30/47,,Granada CF,Levante,1:2
26921,1946-1947,2,24,3/30/47,,Real Zaragoza,RCD Mallorca,5:1
26922,1946-1947,2,24,3/30/47,,CD Alcoyano,Real Betis,6:1
26923,1946-1947,2,24,3/30/47,,Real Sociedad,Racing,1:1
26924,1946-1947,2,25,4/6/47,,Ferrol,Racing,3:1
26925,1946-1947,2,25,4/6/47,,Córdoba,Baracaldo,3:0
26926,1946-1947,2,25,4/6/47,,CD Málaga,Gimnàstic,5:3
26927,1946-1947,2,25,4/6/47,,Hércules CF,Granada CF,4:0
26928,1946-1947,2,25,4/6/47,,Levante,Real Zaragoza,1:0
26929,1946-1947,2,25,4/6/47,,RCD Mallorca,CD Alcoyano,2:3
26930,1946-1947,2,25,4/6/47,,Real Betis,Real Sociedad,0:3
26931,1946-1947,2,26,4/13/47,,Baracaldo,Ferrol,2:3
26932,1946-1947,2,26,4/13/47,,Gimnàstic,Córdoba,3:0
26933,1946-1947,2,26,4/13/47,,Granada CF,CD Málaga,4:2
